jkName,jkNo,meet,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,winRateT,winRateY
"김서진","080383","부산경남",4,0,4,0,9.3,0,86,0,4.7,0
"김수만","080388","부산경남",57,0,58,0,18.9,0,607,0,9.4,0
"김어수","080403","부산경남",291,19,364,22,13.1,13.1,5005,314,5.8,6.1
"김영민","080404","부산경남",84,0,100,0,12.2,0,1510,0,5.6,0
"김정웅","080481","부산경남",37,0,53,0,6.9,0,1309,0,2.8,0
"김태경","080296","부산경남",345,0,413,0,13.8,0,5504,0,6.3,0
"김태준","080387","부산경남",45,0,55,0,10.8,0,930,0,4.8,0
"김현중","080501","부산경남",60,0,68,0,13,0,984,0,6.1,0
"김혜선","080456","부산경남",467,32,488,23,18.6,25.2,5130,218,9.1,14.7
"김홍일","080406","부산경남",29,0,43,0,8.2,0,875,0,3.3,0
"나딘","080464","부산경남",0,0,0,0,0,0,2,0,0,0
"남정혁","080619","부산경남",15,15,13,13,16.1,16.1,174,174,8.6,8.6
"노조무","080427","부산경남",66,0,92,0,12.5,0,1260,0,5.2,0
"뉴남","080413","부산경남",2,0,7,0,16.4,0,55,0,3.6,0
"다나카","080516","부산경남",261,48,223,36,20.1,20.6,2407,408,10.8,11.8
"다니엘","080442","부산경남",5,0,6,0,15.5,0,71,0,7,0
"다실바","080568","부산경남",555,75,492,62,29.4,32.5,3561,421,15.6,17.8
"다카하시","080553","부산경남",31,0,44,0,14.1,0,533,0,5.8,0
"대니","080428","부산경남",10,0,9,0,12.6,0,151,0,6.6,0
"데이","080414","부산경남",0,0,0,0,0,0,10,0,0,0
"라훌","080455","부산경남",0,0,1,0,33.3,0,3,0,0,0
"로라","080461","부산경남",0,0,1,0,50,0,2,0,0,0
"리차드","080592","부산경남",20,0,20,0,15.2,0,263,0,7.6,0
